from,to,percent,number,absvalue,lat,lng,source,target
神农架林区,宜昌市,45.44,462.024,209.9437056,31.74460031047552,110.67599978780419,4,16
神农架林区,十堰市,12.76,462.024,58.9542624,31.74460031047552,110.67599978780419,4,11
神农架林区,襄阳市,9.53,462.024,44.030887199999995,31.74460031047552,110.67599978780419,4,13
神农架林区,恩施土家族苗族自治州,8.06,462.024,37.239134400000005,31.74460031047552,110.67599978780419,4,10
神农架林区,武汉市,7.5,462.024,34.6518,31.74460031047552,110.67599978780419,4,15
神农架林区,荆门市,2.1,462.024,9.702504,31.74460031047552,110.67599978780419,4,5
神农架林区,潜江市,0.91,462.024,4.2044184,31.74460031047552,110.67599978780419,4,6
神农架林区,孝感市,0.77,462.024,3.5575848000000003,31.74460031047552,110.67599978780419,4,7
神农架林区,荆州市,0.7,462.024,3.2341679999999995,31.74460031047552,110.67599978780419,4,9
神农架林区,黄石市,0.56,462.024,2.5873344000000005,31.74460031047552,110.67599978780419,4,3
神农架林区,仙桃市,0.35,462.024,1.6170839999999997,31.74460031047552,110.67599978780419,4,2
神农架林区,咸宁市,0.28,462.024,1.2936672000000002,31.74460031047552,110.67599978780419,4,0
神农架林区,鄂州市,0.21,462.024,0.9702503999999998,31.74460031047552,110.67599978780419,4,8
神农架林区,随州市,0.21,462.024,0.9702503999999998,31.74460031047552,110.67599978780419,4,1
神农架林区,黄冈市,0.07,462.024,0.32341680000000006,31.74460031047552,110.67599978780419,4,12
天门市,荆门市,19.05,3225.42,614.4425100000001,30.663299439124792,113.1660004274518,14,5
天门市,仙桃市,17.97,3225.42,579.607974,30.663299439124792,113.1660004274518,14,2
天门市,武汉市,15.91,3225.42,513.1643220000001,30.663299439124792,113.1660004274518,14,15
天门市,孝感市,11.96,3225.42,385.76023200000003,30.663299439124792,113.1660004274518,14,7
天门市,荆州市,5.78,3225.42,186.42927600000002,30.663299439124792,113.1660004274518,14,9
天门市,潜江市,5.46,3225.42,176.107932,30.663299439124792,113.1660004274518,14,6
天门市,宜昌市,2.51,3225.42,80.95804199999999,30.663299439124792,113.1660004274518,14,16
天门市,黄冈市,1.44,3225.42,46.446048,30.663299439124792,113.1660004274518,14,12
